Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001065,Male,Yes,2,Not Graduate,Yes,8652,343,160.0,360,0.0,Semiurban,N
LP001066,Male,Yes,3+,Graduate,Yes,2341,1544,138.0,360,1.0,Urban,Y
LP001067,Male,No,1,Not Graduate,Yes,14116,3996,28.0,360,0.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,Yes,13593,6848,196.0,360,0.0,Semiurban,Y
LP001069,Female,Yes,3+,Graduate,Yes,13128,8230,68.0,360,0.0,Urban,Y
LP001070,Male,Yes,3+,Graduate,No,6278,4382,317.0,360,0.0,Semiurban,Y
LP001071,Female,Yes,0,Not Graduate,Yes,3571,8046,389.0,360,0.0,Semiurban,Y
LP001072,Male,No,1,Not Graduate,No,2784,4986,352.0,240,0.0,Semiurban,Y
LP001073,Male,Yes,1,Not Graduate,Yes,2878,3423,168.0,360,0.0,Urban,Y
LP001074,Male,Yes,0,Not Graduate,Yes,7839,9220,176.0,360,0.0,Urban,Y
LP001075,Female,Yes,3+,Not Graduate,Yes,4158,235,111.0,360,0.0,Rural,Y
LP001076,Male,Yes,1,Graduate,Yes,5061,7993,171.0,360,0.0,Semiurban,Y
LP001077,Male,Yes,3+,Not Graduate,Yes,7507,9160,395.0,360,0.0,Urban,Y
LP001078,Male,Yes,0,Graduate,Yes,6952,5224,189.0,180,,Rural,Y
LP001079,Male,Yes,1,Graduate,Yes,11579,1230,103.0,360,1.0,Urban,Y
LP001080,Male,Yes,0,Graduate,Yes,5512,238,378.0,360,0.0,Semiurban,Y
LP001081,Male,Yes,2,Graduate,Yes,3478,4924,346.0,360,0.0,Urban,Y
LP001082,Female,Yes,1,Graduate,Yes,14419,51,67.0,360,0.0,Rural,Y
LP001083,Male,No,2,Graduate,Yes,5916,9572,,360,0.0,Urban,Y
LP001084,Male,Yes,0,Graduate,Yes,6996,1056,236.0,360,,Semiurban,N
LP001085,Male,Yes,0,Not Graduate,Yes,13990,8213,96.0,360,0.0,Semiurban,Y
LP001086,Male,Yes,0,Not Graduate,No,12853,8498,62.0,180,0.0,Urban,N
LP001087,Male,Yes,0,Graduate,Yes,9374,7609,283.0,180,0.0,Urban,N
LP001088,Male,No,2,Graduate,Yes,3724,2609,82.0,360,0.0,Urban,Y
LP001089,Male,Yes,1,Graduate,Yes,14414,3600,264.0,360,0.0,Rural,Y
LP001090,Female,No,2,Graduate,Yes,11771,1965,139.0,180,0.0,Rural,N
LP001091,Male,Yes,1,Graduate,Yes,8589,6532,338.0,360,0.0,Rural,N
LP001092,Male,Yes,0,Not Graduate,Yes,14514,3578,281.0,120,0.0,Urban,N
LP001093,Male,No,0,Graduate,Yes,2453,5561,349.0,360,,Urban,Y
LP001094,Male,Yes,0,Graduate,Yes,12559,2543,269.0,360,0.0,Semiurban,Y
LP001095,Male,Yes,3+,Graduate,Yes,8434,504,71.0,360,1.0,Semiurban,Y
LP001096,Male,Yes,2,Graduate,Yes,11982,8328,296.0,360,1.0,Semiurban,Y
LP001097,Male,No,0,Graduate,Yes,7417,5084,161.0,360,0.0,Rural,Y
LP001098,Male,Yes,0,Graduate,Yes,9761,9494,391.0,360,0.0,Rural,Y
LP001099,Male,No,3+,Not Graduate,No,10786,4014,270.0,360,0.0,Urban,Y
LP001100,Male,Yes,2,Graduate,Yes,7242,6307,333.0,360,0.0,Semiurban,N
LP001101,Male,No,2,Graduate,Yes,5753,3614,244.0,360,0.0,Semiurban,Y
LP001102,Male,Yes,1,Graduate,Yes,2048,5142,172.0,360,0.0,Semiurban,Y
LP001103,Male,No,0,Graduate,Yes,3339,6071,75.0,360,0.0,Semiurban,Y
LP001104,Male,Yes,3+,Graduate,Yes,3451,4806,358.0,360,0.0,Rural,Y
LP001105,Male,No,2,Graduate,Yes,10750,506,28.0,360,0.0,Semiurban,Y
LP001106,Female,Yes,0,Graduate,Yes,13243,9725,260.0,360,0.0,Urban,Y
LP001107,Male,Yes,3+,Graduate,Yes,4007,4003,183.0,360,0.0,Semiurban,N
LP001108,Male,Yes,2,Graduate,Yes,13599,8899,152.0,120,,Rural,Y
LP001109,Male,Yes,0,Graduate,Yes,14673,9815,100.0,360,0.0,Rural,Y
LP001110,Male,Yes,1,Graduate,Yes,13182,7611,369.0,360,1.0,Urban,Y
LP001111,Male,No,0,Graduate,Yes,14298,1707,154.0,360,0.0,Semiurban,N
LP001112,Male,No,0,Graduate,Yes,14155,8493,153.0,360,0.0,Urban,Y
LP001113,Male,Yes,2,Graduate,Yes,12651,2444,71.0,360,0.0,Urban,Y
LP001114,Female,No,0,Graduate,Yes,10574,8509,221.0,360,0.0,Semiurban,N
LP001115,Female,Yes,3+,Graduate,No,7850,5906,217.0,360,0.0,Semiurban,Y
LP001116,Male,Yes,3+,Graduate,Yes,9103,2955,125.0,360,0.0,Urban,Y
LP001117,Female,No,0,Graduate,Yes,4125,2927,330.0,360,1.0,Semiurban,N
LP001118,Female,No,1,Graduate,Yes,7393,857,263.0,360,0.0,Rural,Y
LP001119,Male,No,3+,Not Graduate,Yes,8900,2720,252.0,360,,Semiurban,N
LP001120,Female,Yes,2,Not Graduate,No,14456,3022,33.0,360,0.0,Urban,N
LP001121,Male,No,2,Not Graduate,Yes,3653,8868,244.0,360,0.0,Urban,Y
LP001122,Female,Yes,0,Not Graduate,Yes,6261,378,230.0,360,0.0,Urban,Y
LP001123,Female,Yes,1,Not Graduate,Yes,8685,8408,220.0,360,1.0,Urban,Y
LP001124,Male,Yes,1,Not Graduate,Yes,5066,6058,184.0,360,0.0,Rural,Y
LP001125,Male,No,3+,Graduate,Yes,1759,7418,68.0,360,0.0,Semiurban,Y
LP001126,Male,No,0,Graduate,Yes,11200,4963,152.0,360,0.0,Urban,Y
LP001127,Male,No,3+,Graduate,Yes,10004,4851,89.0,360,0.0,Urban,N
LP001128,Female,Yes,0,Graduate,Yes,12370,2989,391.0,360,0.0,Rural,N
LP001129,Female,Yes,3+,Not Graduate,Yes,3344,3830,138.0,360,0.0,Semiurban,Y
LP001130,Male,Yes,2,Graduate,Yes,8769,5403,158.0,360,0.0,Semiurban,Y
LP001131,Male,Yes,1,Not Graduate,No,12276,9698,262.0,180,0.0,Semiurban,Y
LP001132,Male,Yes,2,Graduate,Yes,13706,6850,200.0,180,1.0,Urban,Y
LP001133,Male,No,0,Graduate,,12943,9482,202.0,360,1.0,Rural,Y
LP001134,Male,Yes,0,Graduate,Yes,3033,1939,354.0,360,0.0,Urban,N
LP001135,Male,Yes,0,Graduate,Yes,7096,4694,69.0,360,0.0,Semiurban,Y
LP001136,Female,Yes,0,Graduate,Yes,6269,7325,200.0,120,0.0,Urban,Y
LP001137,Male,Yes,0,Not Graduate,Yes,11115,7715,144.0,360,0.0,Semiurban,Y
LP001138,Male,Yes,2,Not Graduate,Yes,3520,8427,250.0,360,0.0,Rural,Y
LP001139,Male,No,2,Not Graduate,Yes,7858,9975,330.0,360,0.0,Semiurban,Y
LP001140,Male,Yes,0,Graduate,Yes,7002,7627,367.0,360,1.0,Urban,N
LP001141,Female,No,3+,Not Graduate,Yes,6743,4195,22.0,360,1.0,Semiurban,Y
LP001142,Female,Yes,2,Graduate,Yes,3191,2786,395.0,360,0.0,Urban,Y
LP001143,Male,Yes,3+,Graduate,No,11420,1377,192.0,360,0.0,Rural,Y
LP001144,Male,Yes,2,Not Graduate,Yes,10019,2755,100.0,360,0.0,Semiurban,Y
LP001145,Male,No,0,Graduate,Yes,3088,2083,294.0,180,0.0,Urban,Y
LP001146,Male,No,1,Graduate,Yes,5253,4409,334.0,180,,Urban,Y
LP001147,Male,Yes,2,Graduate,Yes,12586,6570,364.0,360,0.0,Urban,Y
LP001148,Male,Yes,0,Not Graduate,Yes,1597,4612,238.0,360,0.0,Semiurban,Y
LP001149,Male,Yes,0,Graduate,Yes,6254,6107,159.0,360,0.0,Semiurban,N
LP001150,Male,Yes,0,Graduate,Yes,12039,4104,82.0,360,1.0,Urban,Y
LP001151,Male,No,0,Graduate,Yes,7673,3549,46.0,360,1.0,Rural,N
LP001152,Female,Yes,1,Not Graduate,Yes,10789,4152,215.0,360,0.0,Urban,N
LP001153,Male,Yes,1,Not Graduate,Yes,14805,7657,171.0,240,1.0,Urban,Y
LP001154,Male,Yes,0,Graduate,Yes,9552,5478,271.0,360,1.0,Urban,N
LP001155,Male,Yes,2,Graduate,Yes,6518,2641,267.0,360,0.0,Urban,N
LP001156,Female,Yes,1,Graduate,Yes,7204,5025,173.0,360,0.0,Semiurban,Y
LP001157,Male,Yes,0,Graduate,Yes,9411,7764,229.0,360,0.0,Semiurban,N
LP001158,Male,No,0,Not Graduate,Yes,14426,2112,41.0,360,0.0,Urban,Y
LP001159,Male,No,0,Graduate,Yes,9776,3500,89.0,360,0.0,Urban,Y
LP001160,Male,Yes,0,Graduate,No,2777,5987,38.0,360,1.0,Urban,Y
LP001161,Male,No,0,Not Graduate,Yes,12403,7624,120.0,360,1.0,Urban,N
LP001162,Male,Yes,0,Graduate,No,2018,9201,181.0,360,0.0,Urban,Y
LP001163,Male,Yes,2,Not Graduate,No,13215,1629,158.0,360,,Urban,N
LP001164,Male,Yes,1,Not Graduate,Yes,6926,9041,395.0,360,0.0,Urban,Y
LP001165,Male,Yes,0,Not Graduate,Yes,9315,7361,107.0,360,0.0,Semiurban,Y
LP001166,Male,Yes,0,Graduate,Yes,1683,6260,56.0,360,0.0,Urban,Y
LP001167,Female,Yes,2,Graduate,Yes,10664,6922,190.0,360,0.0,Semiurban,N
LP001168,Male,Yes,3+,Not Graduate,No,13077,7166,279.0,360,0.0,Urban,Y
LP001169,,No,2,Graduate,Yes,3888,478,357.0,360,0.0,Semiurban,Y
LP001170,Male,Yes,1,Graduate,No,5822,1310,290.0,360,0.0,Semiurban,N
LP001171,Male,Yes,0,Graduate,Yes,6432,2143,274.0,360,0.0,Semiurban,N
LP001172,Male,Yes,0,Graduate,Yes,5327,413,159.0,360,0.0,Urban,Y
LP001173,Male,Yes,3+,Not Graduate,Yes,12003,9848,,360,0.0,Urban,Y
LP001174,Male,Yes,0,Graduate,Yes,3997,3936,87.0,360,,Rural,Y
LP001175,Male,No,3+,Graduate,Yes,4979,8187,,120,0.0,Semiurban,N
LP001176,Male,Yes,2,Not Graduate,Yes,13957,1394,124.0,360,0.0,Urban,N
LP001177,Male,Yes,2,Not Graduate,No,10257,2623,334.0,180,0.0,Rural,N
LP001178,Male,Yes,0,Graduate,Yes,3435,2290,77.0,360,0.0,Semiurban,Y
LP001179,Male,Yes,2,Graduate,No,7775,638,395.0,360,0.0,Rural,Y
LP001180,Female,Yes,1,Graduate,No,10518,352,206.0,120,0.0,Urban,Y
LP001181,Male,Yes,0,Graduate,Yes,14393,139,75.0,180,0.0,Urban,N
LP001182,Male,Yes,0,Not Graduate,Yes,12809,8443,23.0,360,0.0,Semiurban,N
LP001183,Male,Yes,3+,Graduate,,1849,8860,304.0,360,,Semiurban,Y
LP001184,Female,Yes,1,Graduate,Yes,1598,3842,36.0,360,0.0,Urban,Y
LP001185,Female,No,1,Graduate,Yes,3269,8508,256.0,360,0.0,Semiurban,Y
LP001186,Male,Yes,0,Graduate,Yes,3304,4018,326.0,360,0.0,Semiurban,N
LP001187,Male,No,2,Graduate,No,10752,2926,269.0,360,0.0,Urban,Y
LP001188,Female,No,2,Graduate,Yes,13201,6892,43.0,360,0.0,Semiurban,Y
LP001189,Male,Yes,2,Not Graduate,,9612,7242,319.0,360,1.0,Urban,Y
LP001190,Male,Yes,1,Graduate,Yes,12748,1052,135.0,360,0.0,Semiurban,Y
LP001191,Male,Yes,1,Not Graduate,Yes,5670,3563,257.0,360,0.0,Urban,N
LP001192,Male,No,1,Graduate,Yes,11797,9315,188.0,360,0.0,Semiurban,N
LP001193,Female,Yes,0,Graduate,Yes,12782,1343,332.0,360,0.0,Urban,Y
LP001194,Female,No,3+,Graduate,Yes,1901,569,307.0,360,,Rural,Y
LP001195,Male,No,1,Graduate,Yes,9879,7690,260.0,360,0.0,Semiurban,N
LP001196,Male,No,0,Graduate,No,13676,3916,383.0,360,0.0,Semiurban,Y
LP001197,Male,Yes,1,Graduate,Yes,9830,9192,317.0,360,0.0,Rural,N
LP001198,Male,Yes,3+,Not Graduate,Yes,1642,2923,397.0,360,1.0,Urban,Y
LP001199,Female,No,0,Not Graduate,Yes,13895,4545,309.0,120,0.0,Semiurban,N
LP001200,Female,Yes,0,Graduate,Yes,1720,3925,270.0,360,1.0,Urban,Y
LP001201,Male,Yes,2,Graduate,No,5740,3252,184.0,360,,Rural,Y
LP001202,Male,No,0,Not Graduate,Yes,8501,7558,360.0,360,0.0,Semiurban,N
LP001203,Male,Yes,2,Graduate,Yes,14297,3392,160.0,360,0.0,Semiurban,Y
LP001204,Male,No,0,Not Graduate,No,12115,2617,397.0,360,0.0,Urban,Y
LP001205,Female,No,2,Not Graduate,Yes,13792,5935,139.0,180,0.0,Urban,Y
LP001206,Male,Yes,0,Graduate,Yes,13720,4355,357.0,360,1.0,Urban,Y
LP001207,Male,No,0,Graduate,Yes,1887,2013,395.0,360,0.0,Semiurban,Y
LP001208,Male,Yes,3+,Graduate,Yes,13530,1927,180.0,360,0.0,Urban,Y
LP001209,Male,Yes,1,Not Graduate,Yes,12723,5332,,360,0.0,Urban,Y
LP001210,Male,Yes,0,Graduate,Yes,7491,6258,357.0,360,0.0,Semiurban,Y
LP001211,Male,Yes,0,Not Graduate,Yes,2059,4547,111.0,360,0.0,Rural,N
LP001212,,Yes,2,Graduate,Yes,3339,6915,223.0,360,0.0,Urban,Y
LP001213,Male,Yes,1,Graduate,No,12926,3719,59.0,360,0.0,Rural,Y
LP001214,Male,Yes,3+,Graduate,Yes,3271,9743,73.0,240,0.0,Urban,Y
LP001215,Male,Yes,3+,Graduate,Yes,10056,1682,108.0,360,0.0,Urban,Y
LP001216,Male,No,2,Graduate,No,10108,384,154.0,360,,Rural,N
LP001217,Male,No,1,Graduate,Yes,9176,4708,21.0,240,1.0,Semiurban,Y
LP001218,Male,Yes,1,Graduate,Yes,11327,3036,116.0,360,0.0,Rural,Y
LP001219,Male,Yes,2,Graduate,Yes,3568,7023,75.0,360,0.0,Semiurban,Y
LP001220,Male,Yes,0,Graduate,No,8257,4652,379.0,120,0.0,Rural,Y
LP001221,Female,Yes,0,Not Graduate,No,2016,4445,143.0,120,0.0,Urban,N
LP001222,Male,No,0,Graduate,Yes,13723,389,204.0,360,0.0,Semiurban,N
LP001223,Male,No,0,Graduate,No,10912,2918,144.0,360,0.0,Rural,Y
LP001224,Male,Yes,0,Not Graduate,Yes,2160,2113,353.0,360,0.0,Urban,Y
LP001225,Male,Yes,1,Not Graduate,No,4916,1142,283.0,360,,Urban,Y
LP001226,Male,Yes,2,Graduate,Yes,10021,745,359.0,360,0.0,Urban,N
LP001227,Male,Yes,1,Graduate,Yes,1877,6151,210.0,360,0.0,Rural,Y
LP001228,,Yes,0,Not Graduate,,12974,1730,357.0,360,1.0,Semiurban,Y
LP001229,Male,No,0,Not Graduate,Yes,1659,4385,234.0,360,0.0,Semiurban,N
LP001230,Female,No,1,Not Graduate,Yes,14445,4123,240.0,360,0.0,Semiurban,Y
LP001231,Male,Yes,0,Graduate,Yes,10955,3230,218.0,360,1.0,Rural,Y
LP001232,Male,Yes,2,Graduate,Yes,5674,2514,363.0,360,0.0,Semiurban,N
LP001233,Male,No,3+,Graduate,Yes,3699,1769,193.0,180,1.0,Rural,Y
LP001234,Male,Yes,0,Not Graduate,Yes,12256,8299,236.0,360,1.0,Semiurban,Y
LP001235,Male,Yes,0,Graduate,Yes,12122,2486,225.0,360,0.0,Semiurban,Y
LP001236,Male,Yes,1,Graduate,Yes,14480,4298,86.0,360,0.0,Urban,N
LP001237,Male,No,3+,Not Graduate,No,11729,8968,392.0,360,,Urban,Y
LP001238,Male,Yes,2,Graduate,Yes,12091,7992,193.0,360,0.0,Rural,N
LP001239,Male,No,3+,Graduate,Yes,10916,6444,97.0,360,0.0,Urban,N
LP001240,Male,No,0,Graduate,No,14738,6021,342.0,360,1.0,Urban,Y
LP001241,Male,No,3+,Graduate,Yes,7776,6046,61.0,240,0.0,Semiurban,Y
LP001242,Female,No,0,Graduate,Yes,3488,8629,83.0,360,0.0,Semiurban,Y
LP001243,Female,Yes,0,Graduate,Yes,8277,9226,348.0,360,1.0,Urban,Y
LP001244,Female,Yes,3+,Graduate,Yes,7812,836,218.0,360,0.0,Semiurban,N
LP001245,Male,No,3+,Graduate,Yes,9668,4702,109.0,360,0.0,Semiurban,N
LP001246,Male,No,0,Graduate,Yes,2365,641,26.0,360,0.0,Rural,Y
LP001247,Female,Yes,0,Graduate,Yes,10082,3174,282.0,180,0.0,Semiurban,N
LP001248,Male,Yes,0,Graduate,Yes,11100,1808,141.0,360,0.0,Semiurban,N
LP001249,Female,No,0,Graduate,Yes,6415,7653,183.0,360,0.0,Urban,Y
LP001250,Female,No,0,Graduate,Yes,7741,6253,135.0,360,0.0,Urban,Y
LP001251,Female,Yes,3+,Graduate,Yes,8635,3875,32.0,360,0.0,Urban,Y
LP001252,Male,Yes,2,Graduate,Yes,13722,8834,39.0,360,0.0,Urban,N
LP001253,Male,Yes,2,Graduate,No,14127,8894,220.0,360,0.0,Rural,Y
LP001254,,Yes,2,Graduate,Yes,3054,2848,328.0,360,,Rural,Y
LP001255,Male,Yes,1,Graduate,No,5547,3612,273.0,360,0.0,Semiurban,N
LP001256,Male,Yes,2,Not Graduate,Yes,1631,7062,105.0,360,0.0,Urban,Y
LP001257,Male,Yes,1,Graduate,Yes,5179,9914,199.0,360,0.0,Urban,N
LP001258,Female,Yes,0,Graduate,Yes,7853,9040,256.0,360,,Urban,Y
LP001259,Male,No,1,Graduate,Yes,4576,2554,372.0,360,0.0,Rural,N
LP001260,Male,No,1,Not Graduate,No,14164,6320,80.0,360,0.0,Semiurban,Y
LP001261,Male,Yes,3+,Graduate,Yes,14427,1462,234.0,360,0.0,Rural,N
LP001262,Male,Yes,3+,Graduate,Yes,3021,5962,234.0,360,,Semiurban,Y
LP001263,Female,No,1,Graduate,Yes,4769,6811,377.0,360,0.0,Semiurban,N
LP001264,Male,Yes,2,Graduate,Yes,1940,510,391.0,360,0.0,Semiurban,N
LP001265,Male,No,0,Not Graduate,Yes,11433,2156,109.0,360,0.0,Urban,Y
LP001266,Female,No,2,Graduate,No,2703,2919,115.0,240,0.0,Semiurban,N
LP001267,Male,Yes,0,Not Graduate,Yes,9932,5191,80.0,360,0.0,Rural,N
LP001268,Male,No,0,Graduate,No,4891,6632,75.0,360,0.0,Semiurban,Y
LP001269,Male,Yes,0,Graduate,Yes,5221,8924,239.0,360,0.0,Semiurban,Y
LP001270,Male,Yes,2,Graduate,Yes,13810,1237,113.0,120,0.0,Semiurban,N
LP001271,Male,Yes,0,Graduate,Yes,8275,1480,59.0,360,0.0,Urban,Y
LP001272,Female,Yes,3+,Graduate,Yes,8660,2010,356.0,360,0.0,Semiurban,N
LP001273,Female,No,0,Graduate,Yes,9375,6897,338.0,360,0.0,Urban,Y
LP001274,Female,Yes,3+,Graduate,Yes,10895,5629,267.0,360,0.0,Rural,N
LP001275,Female,Yes,2,Not Graduate,Yes,3387,4757,236.0,360,0.0,Urban,Y
LP001276,Male,Yes,0,Graduate,Yes,5770,7490,173.0,360,0.0,Semiurban,Y
LP001277,Male,No,0,Graduate,Yes,9889,2735,370.0,360,0.0,Urban,N
LP001278,Male,Yes,2,Graduate,Yes,9205,4199,81.0,360,0.0,Urban,Y
LP001279,Male,Yes,2,Graduate,Yes,13217,7286,259.0,360,0.0,Semiurban,Y
LP001280,Male,No,2,Graduate,Yes,5694,6200,209.0,360,0.0,Rural,N
LP001281,Male,Yes,0,Not Graduate,Yes,2244,577,165.0,360,0.0,Semiurban,Y
LP001282,Female,No,1,Not Graduate,Yes,7046,8079,29.0,360,0.0,Urban,Y
LP001283,Male,Yes,3+,Graduate,Yes,1952,818,311.0,360,0.0,Semiurban,Y
LP001284,Male,No,0,Graduate,Yes,4762,7188,149.0,360,0.0,Urban,Y
LP001285,Male,No,1,Graduate,Yes,12713,4174,79.0,360,0.0,Semiurban,N
LP001286,Male,Yes,0,Not Graduate,Yes,9245,1889,194.0,360,0.0,Urban,N
LP001287,Male,Yes,2,Graduate,Yes,1998,558,92.0,360,0.0,Semiurban,Y
LP001288,Male,No,2,Graduate,Yes,13379,2933,258.0,360,0.0,Urban,Y
LP001289,Male,Yes,0,Not Graduate,Yes,12954,9811,198.0,360,0.0,Urban,N
LP001290,Male,No,0,Not Graduate,Yes,1640,6831,86.0,360,0.0,Rural,Y
LP001291,Male,Yes,0,Graduate,Yes,3214,5949,100.0,360,0.0,Rural,Y
LP001292,Male,Yes,1,Not Graduate,Yes,12512,7643,96.0,360,0.0,Urban,Y
LP001293,Male,Yes,1,Graduate,Yes,11914,69,267.0,120,0.0,Urban,Y
LP001294,Female,No,3+,Graduate,Yes,12159,1189,,360,0.0,Semiurban,N
LP001295,Male,Yes,1,Graduate,Yes,2175,2902,87.0,360,0.0,Semiurban,N
LP001296,Male,No,0,Not Graduate,Yes,5005,4340,357.0,360,1.0,Rural,Y
LP001297,Male,No,3+,Graduate,Yes,5102,8875,75.0,360,0.0,Urban,Y
LP001298,Male,Yes,1,Graduate,Yes,8175,5895,118.0,120,0.0,Urban,Y
LP001299,Male,Yes,1,Not Graduate,Yes,10609,7550,,360,0.0,Urban,Y
LP001300,Male,No,0,Graduate,Yes,11514,5697,95.0,360,0.0,Semiurban,Y
LP001301,Male,Yes,0,Not Graduate,Yes,8004,3910,350.0,360,,Semiurban,Y
LP001302,Male,No,3+,Graduate,No,13514,8262,85.0,360,0.0,Semiurban,N
